sample_id,sample_name,group,light_intensity,temperature,absorption,light_intensity_group,temperature_group,Sequencing,replicate,PCA_gorup,FvFm,DEG_group,biolrep,FvFM_1,FvFm_measure,,Mesotaenium_endlicherianum
B_1_3,LightIntensity132.9_Temperature8.6_rep1,LightIntensity132.9_Temperature8.6,132.9,8.6,0.279,129.6,8.37,A,1,Cold_HL,0.033333333,MLI_LT,1,Treatment,0.011,,Mesotaenium_endlicherianum
B_1_4,LightIntensity72.6_Temperature8.3_rep1,LightIntensity72.6_Temperature8.3,72.6,8.3,0.344,71.93,8.37,A,1,Cold_HL,0.055083333,MLI_LT,2,Treatment,0.018,,Mesotaenium_endlicherianum
B_1_5,LightIntensity39.9_Temperature8_rep1,LightIntensity39.9_Temperature8,39.9,8,0.307,39.2,8.37,A,1,Cold_HL,0.301666667,LLI_LT,3,Treatment,0.331,,Mesotaenium_endlicherianum
B_1_6,LightIntensity21.9_Temprature8.6_rep1,LightIntensity21.9_Temprature8.6,21.9,8.6,0.321,20.99,8.37,A,1,Cold_HL,0.552666667,LLI_LT,4,Treatment,0.548,,Mesotaenium_endlicherianum
B_1_8,LightIntensity335.8_Temperature13.1_rep1,LightIntensity335.8_Temperature13.1,335.8,13.1,0.268,329.83,12.72,A,1,HL,0,HLI_LT,5,Treatment,0,,Mesotaenium_endlicherianum
B_1_9,LightIntensity133.38_Temperature12.9_rep1,LightIntensity133.38_Temperature12.9,133.38,12.9,0.34,129.6,12.72,A,1,Cold,0.0935,MLI_LT,6,Treatment,0.043,,Mesotaenium_endlicherianum
B_1_10,LightIntensity76.0_Temperature12.4_rep1,LightIntensity76.0_Temperature12.4,76,12.4,0.342,71.93,12.72,A,1,Cold,0.47525,MLI_LT,7,Treatment,0.386,,Mesotaenium_endlicherianum
B_1_11,LightIntensity42.4_Temperature12.2_rep1,LightIntensity42.4_Temperature12.2,42.4,12.2,0.353,39.2,12.72,A,1,Cold,0.575416667,LLI_LT,8,Treatment,0.573,,Mesotaenium_endlicherianum
B_1_12,LightIntensity23.1_Temprature12.6_rep1,LightIntensity23.1_Temprature12.6,23.1,12.6,0.355,20.99,12.72,A,1,Cold,0.65925,LLI_LT,9,Treatment,0.652,,Mesotaenium_endlicherianum
B_1_13,LightIntensity505.5_Temperature17.6_rep1,LightIntensity505.5_Temperature17.6,505.5,17.6,0.249,527.89,17.07,A,1,HL,0,HLI_MT,10,Treatment,0,,Mesotaenium_endlicherianum
